Place,Type,Start,End
DingTaiFeng,FOOD,2015-03-03T19:00,2015-03-03T20:00
Xidan,ACTIVITY,2015-03-03T20:00,2015-03-03T21:00
Nan lou guxiang,ACTIVITY,2015-03-03T21:30,2015-03-04T0:00
Sleep,SLEEP,2015-03-04T0:30,2015-03-04T8:30
JiaoziGuan,FOOD,2015-03-04T9:00,2015-03-04T10:00
Beihai park,ACTIVITY,2015-03-04T10:30,2015-03-04T11:30
Jingshan park,ACTIVITY,2015-03-04T11:30,2015-03-04T12:30
QuanJuDe,FOOD,2015-03-04T13:00,2015-03-04T14:30
Qianmen,ACTIVITY,2015-03-04T14:30,2015-03-04T15:30
Tian an men,ACTIVITY,2015-03-04T15:30,2015-03-04T16:00
Forbidden City,ACTIVITY,2015-03-04T16:00,2015-03-04T17:30
Wangfujing,ACTIVITY,2015-03-04T18:00,2015-03-04T18:30
Food street,ACTIVITY,2015-03-04T18:30,2015-03-04T19:00
XiaoYunnan,FOOD,2015-03-04T19:30,2015-03-04T21:00
Hou Hai,ACTIVITY,2015-03-04T21:30,2015-03-05T1:00
Sleep,SLEEP,2015-03-05T1:30,2015-03-05T8:30
Food,FOOD,2015-03-05T8:30,2015-03-05T9:00
Olympic Stadium,ACTIVITY,2015-03-05T9:00,2015-03-05T10:00
Water Cube,ACTIVITY,2015-03-05T10:00,2015-03-05T11:00
BianYiFang,FOOD,2015-03-05T11:30,2015-03-05T13:00
Art District,ACTIVITY,2015-03-05T13:30,2015-03-05T16:30
Panjiayuan,ACTIVITY,2015-03-05T17:00,2015-03-05T18:30
