Place,Type,Start,End
DingTaiFeng,FOOD,2015-03-03T19:00,2015-03-03T20:00
Xidan,ACTIVITY,2015-03-03T20:00,2015-03-03T21:00
Nan lou guxiang,ACTIVITY,2015-03-03T21:30,2015-03-04T0:00
Sleep,SLEEP,2015-03-04T0:30,2015-03-04T8:00
Food,FOOD,2015-03-04T8:00,2015-03-04T8:30
Great Wall,ACTIVITY,2015-03-04T10:30,2015-03-04T12:30
BaDaLing Restaurant,FOOD,2015-03-04T13:00,2015-03-04T14:00
Ming tombs,ACTIVITY,2015-03-04T15:00,2015-03-04T16:30
BianYiFang,FOOD,2015-03-04T18:30,2015-03-04T20:00
Hou Hai,ACTIVITY,2015-03-04T20:30,2015-03-05T0:30
Sleep,SLEEP,2015-03-05T1:00,2015-03-05T8:00
JiaoziGuan,FOOD,2015-03-05T8:30,2015-03-05T9:30
Art District,ACTIVITY,2015-03-05T10:00,2015-03-05T12:30
XiaoYunnan,FOOD,2015-03-05T13:00,2015-03-05T14:00
Tian an men,ACTIVITY,2015-03-05T14:30,2015-03-05T15:00
Forbidden City,ACTIVITY,2015-03-05T15:00,2015-03-05T16:30
Jingshan park,ACTIVITY,2015-03-05T16:30,2015-03-05T17:30
Food street,ACTIVITY,2015-03-05T18:00,2015-03-05T19:00
