id,rank,score,configuration
-1923936486,0,3300.728932,[-1,1427985686,1751045306,1373897787,229051700,-1,-1,1191992653,-1,2136153137,-1,803841519,2144878191,981100754,56698951,-1,-1,1560080710,1497983557,-1,-1,-1,-1,-1,-1,1682916831,1168518675,-1,-1,-1,1696516834,994202303,287357982,-1,-1,528361926,676594709,787042904,-1,-1,1569501439, 1564166476]
-1710015489,1,10159.20772,[-1,663224501,33679877,13348520,-1,-1,1605748191,1715260047,-1,-1,-1,-1,1253539271,76958796,1899338214,1136913713,-1,1716905372,949821648,713120700,234019362,515805596,-1,1489220422,779536237,64664098,119517281,908066097,512601000,1102734311,916850150,1003217989,1562052868,-1,1859409854,1957455241,-1,2085590369,1868079004,1942741614,-1, -1]
-1607183247,0,8525.605525,[-1,996027762,1500816666,443751182,-1,-1,2061725744,-1,-1,1213169293,-1,1763423368,267381175,722823428,1044544318,566979361,-1,-1,1049567450,98531204,35549545,259956400,-1,1137018999,1873709372,167866406,459997186,272831340,459500228,1506042961,1205430527,1135602697,-1,-1,2120239126,-1,-1,1821421427,1960046709,-1,-1, -1]
-1596359544,0,6066.703396,[-1,320981118,1714077314,-1,1883663819,-1,649148737,-1,-1,774873271,-1,-1,1239187421,69538525,630553709,1405647127,-1,1051628312,-1,-1,522286115,316354806,2069206654,-1,928940394,-1,747451700,426314934,1129137007,306529825,1357087056,-1,-1,1592467433,-1,-1,2063242377,924396130,1174179185,-1,-1, -1]
-1124748520,0,1239.613848,[-1,-1,-1,-1,258400456,-1,-1,1758684178,602716738,-1,-1,1428081700,-1,452947490,1088506971,-1,-1,-1,865519007,-1,-1,-1,-1,1184069407,-1,-1,-1,-1,-1,889995435,148079004,-1,888279077,311835997,241992144,-1,749388998,-1,-1,35776352,-1, 247991907]
-1081874635,2,10159.05531,[-1,559635792,168047298,124788055,-1,-1,1875889382,1918728875,-1,-1,-1,2122606681,1775260757,259040131,2108507922,1684262873,2112457626,2020433324,578719989,1397331083,465886042,502266098,-1,1866873480,703898790,219648809,64612179,523822616,280519091,960956928,682743175,757440947,-1,-1,-1,2125183232,1928294579,-1,1871012828,-1,-1, -1]
-1057915104,0,726.2829458,[-1,-1,-1,-1,247639334,-1,830515073,262552076,1461304612,-1,-1,-1,-1,2130700412,836462617,-1,-1,1420920424,502280044,-1,-1,-1,-1,-1,1718483517,-1,1019267884,-1,-1,-1,-1,1154045668,-1,984118355,420186649,853942407,-1,995584124,788623952,-1,-1, -1]
-806567193,1,9967.155556,[-1,529816073,113790930,78219971,-1,2137699745,-1,1500251913,-1,-1,-1,-1,619695615,959071644,1252660122,234460274,-1,1529867951,852356983,392202858,894801852,875899125,2112639019,1858256850,938319475,1033944390,358005312,860091890,993685274,254706593,1135045277,644014183,2095762205,-1,1850932550,1819223835,-1,-1,2050517842,-1,-1, -1]
-712779020,1,3340.367651,[1580809285,-1,-1,912293805,-1,1912926144,1650624113,213588076,-1,2112190812,54573588,1116753056,130876582,-1,238506511,-1,576692619,-1,545119261,873030758,278182175,-1,-1,125944976,-1,-1,-1,631911223,737951816,26584574,-1,596591916,1749185896,-1,1064102817,-1,-1,720707123,2003715419,-1,-1, -1]
-574587562,2,10035.32966,[-1,425799126,79720585,15897171,-1,-1,-1,1571710679,-1,-1,2096175220,-1,1110337573,432985658,1549343163,99882553,-1,1602112285,1074903973,376139263,885637349,912936065,-1,-1,916040179,682182637,268153806,591766959,486926259,12816759,1284507742,715579424,1732078792,-1,-1,-1,-1,-1,-1,1786525970,-1, -1]
